[LOG] INFO [IExchangeSimulator::setLoggerLogFile] Logger log file set to: RegressionTests/Baseline/ZeroIntelligenceSimulatorSimpleSantaFeModelLargeTime.baseline.txt
[LOG] INFO Lobster messages:
    time,    type,     oid,     qty,      px,     dir
   55656,       4,   11069,       1,10040000,       1
   55661,       2,    1010,       1,10120000,      -1
   55665,       2,    1012,       1,10140000,      -1
   55671,       1,   11070,       1, 9780000,       1
   55674,       2,    1007,       1,10090000,      -1
   55678,       2,    1005,       1,10070000,      -1
   55682,       2,    1022,       1,10240000,      -1
   55688,       4,   11071,       1, 9940000,      -1
   55693,       3,   11028,       1,10240000,      -1
   55697,       2,    1020,       1,10220000,      -1
   55701,       3,   11000,       1, 9900000,       1
   55707,       1,   11072,       1, 9990000,      -1
   55710,       2,      20,       1, 9790000,       1
   55714,       2,    1006,       1,10080000,      -1
   55718,       2,      14,       1, 9850000,       1
   55722,       2,      14,       1, 9850000,       1
   55726,       2,      13,       1, 9860000,       1
   55732,       1,   11073,       1, 9810000,       1
   55735,       2,    1018,       1,10200000,      -1
   55739,       2,    1016,       1,10180000,      -1
   55745,       1,   11074,       1, 9830000,       1
   55750,       4,   11075,       1, 9940000,      -1
   55757,       1,   11076,       1,10230000,      -1
   55760,       2,       6,       1, 9930000,       1
   55764,       2,    1007,       1,10090000,      -1
   55768,       2,       9,       1, 9900000,       1
   55774,       1,   11077,       1, 9980000,       1
   55777,       2,      23,       1, 9760000,       1
   55781,       2,    1003,       1,10050000,      -1
   55787,       1,   11078,       1, 9790000,       1
   55792,       1,   11079,       1,10100000,      -1
   55797,       1,   11080,       1, 9790000,       1
   55802,       1,   11081,       1, 9700000,       1
   55807,       1,   11082,       1, 9860000,       1
   55812,       1,   11083,       1, 9710000,       1
   55815,       2,      19,       1, 9800000,       1
   55819,       2,      27,       1, 9720000,       1
   55823,       3,   11018,       1, 9840000,       1
   55827,       2,      30,       1, 9690000,       1
   55833,       1,   11084,       1,10100000,      -1
   55836,       3,   11064,       1,10050000,      -1
   55842,       4,   11085,       1, 9990000,       1
   55849,       4,   11086,       1,10050000,       1
   55854,       2,    1021,       1,10230000,      -1
   55858,       2,    1020,       1,10220000,      -1
   55862,       2,       8,       1, 9910000,       1
   55868,       1,   11087,       1, 9840000,       1
   55873,       1,   11088,       1,10210000,      -1
   55878,       4,   11089,       1,10060000,       1
   55885,       4,   11090,       1,10060000,       1
   55892,       1,   11091,       1,10080000,      -1
   55895,       2,    1006,       1,10080000,      -1
   55899,       2,    1015,       1,10170000,      -1
   55905,       1,   11092,       1,10180000,      -1
   55908,       3,   11036,       1,10200000,      -1
   55912,       2,    1019,       1,10210000,      -1
   55916,       3,   11042,       1, 9820000,       1
   55920,       2,      21,       1, 9780000,       1
   55926,       1,   11093,       1,10190000,      -1
   55929,       3,   11021,       1, 9800000,       1
   55933,       3,   11077,       1, 9980000,       1
   55937,       2,       8,       1, 9910000,       1
   55943,       1,   11094,       1, 9930000,       1
   55948,       1,   11095,       1,10070000,      -1
   55951,       2,      17,       1, 9820000,       1
   55957,       1,   11096,       1,10100000,      -1
   55960,       2,    1009,       1,10110000,      -1
   55964,       2,      11,       1, 9880000,       1
   55970,       4,   11097,       1, 9940000,      -1
   55977,       1,   11098,       1,10030000,       1
   55982,       1,   11099,       1, 9860000,       1
   55987,       4,   11100,       1,10070000,       1
